token,sim_token
인근,이웃/부근/근처
양식,양요리/식양/식량
주변,중심/주위/전두리
설치,황어/치다/장치
일몰,일출/해넘이/일진
바다,해원/해양/거학
전설,탁언/전언/전어
바위,암석/석암/바윗돌
등대,배척/등후/대령
서해,황해
다음,후/폭음/장주
지역,지방/지대/구역
연인,연판/애인
일출,일몰/해뜨기/해돋이
포구,포문/그라운더
사람,인간/사람 되다/사람 같지 않다
규모,크기/승구/모해
자리,침석/침금/좌석
가격,코스트/문호/문지
시장,장/시험장/시상
낚시,조침/조구/낚시질
사이,틈/터수/재
항구,항진/항
가운데,중앙/안/속
출입,출타/외출/드나들다
가을,추절/추기/추계
정도,사도/직로/직도
최고,최저/최신/최상
중간,중도/중각/반중간
해양,바다
전시,전주/앞날개/디스플레이
대표,간판
효과,효용/보람/효과가 주사침 같다
생각,지려/지각/입장
주요,중요
지방,하인방/하방/지역
음식,찬선/식이/식선
각광,풋라이트/주목/각광 받다
중국,차이나/지나/중토
모양,형편/형세/태양
자랑,자과/긍지/긍과
요리,흥리/조리/이식
동안,사이/동아 속 썩는 것은 밭 임자도 모른다
부산,어수선하다/시끄럽다/분주
전국,합국/통국/진국
현재,잠재/현세/현상
역사,춘추/장사/사역
처리,보다
시설,시상/시분/설시
거제,주택
일대,평생/일원/일세
경관,풍색/풍물/풍광
작품,품직/직품
거리,길거리/간격/거리가 생기다
도심,슴베/도정/다운타운
조망,족산대/조촉/조람
유람선,유정/놀잇배
공원,직공
정취,정치
공간,지렛대/지레/제지레
야경,야색/야경꾼/삼고
도시,타운/도회처/도회지
배경,후경/뒤
대형,소형/중형/중징
정상,이상/혼령/주뇌
모습,형모/용모/생김새
감상,상감하다/소감/상감
사진,사퇴/사재감/사연
코스,주로/여정/루트
관광,유람/유관/과행
투어,버들붕어
가능,불가능
주민,거주민/거민
무료,유료/심심하다/무상
주차장,주차소
이용,활용/쓰다/사용
지도,훈회/훈유/기로
육지,팔조/여섯가락/뭍
산책로,유보도로/유보도/산책길
도로,헛수고하다/헛고생하다/헛수고
마련,장만하다/준비/만들다
고장,호장근/호장/퉁퉁배
위치,자리잡다/위리안치
마을,향보/촌리/촌락
준공,기공/준역/완공
대교,화엄경/잡화경
인도,인수/인리/인디아
느낌,감
국도,주도/수도/도읍
그림,회화/회소/회도
어항,어항에 금붕어 놀듯
수욕장,헤엄터/유영장/수영장
주차,찰주/차자/차문
생태,선태
풍경,풍탁/풍색/풍물
국내,국외/해우/해내
생산,소비/출생/출산
만큼,만치
볼거리,항아리손님/탑시종/유행성 귀밑샘염
여수,평민/잔년/여포
도서,책/서질/서적
연결,잇달다/잇다/연결
해상,해마/파두/탈상
교통,왕래/내왕
일반,절반/보편/반절
동쪽,새녘/동변/동방
유일,쌍일/닭날
천연기념물,자연기념물
한눈,딴눈/한눈에 열 줄/한눈 붙이다
장소,단소/장처/장점
준비,마련하다/만들다
식당,음식점/식점
터널,굴길
구조,짜임/증제/적조
포인트,전철기/전로기/분기기
연계,중닭/연계/약병아리
개방,폐쇄/열다/공개
편의,편차/편심/편복
활용,이용/응용/어미변화
공사,사사/헛일/헛수고
안전,현전/적면/웃전
곳곳,처처/재재/각처
시작,종결/마치다/끝내다
출발,도착/스타트/발족
문화,무화/문채/문조
개발,발명/계발/개발
사업,비즈니스
추진,추신/추백/추계
서쪽,서방/상유/서쪽에서 해가 뜨다
남쪽,서문/남측/남방
지정,포공초/포공영/정조
완공,준공
최근,저간/요즈음/근래
기반,토대/속박/바탕
레저,여가 활동/여가
휴양,정양
가족,헛발/허족/처노
단위,하나치
복합,혼합/합성
노력,공
발길,통래/왕래/발길이 내키지 않다
지형,지세/지상/지모
동서,묘유/동거/공서
특이,특수/수이하다
특성,통성/특징/특이성
자연,인위/인공/자연히
한국,난국/동국/국한
시기,종기/염질/시환
북쪽,삭방/북측/북조선
해변,해안가/해안/해서
왼쪽,오른쪽/좌편/좌측
오른쪽,왼쪽/우편/우측
지대,지지띠/지역/지료
가량,짐작/구야국/구야
이름,성명/별명/명화
경우,소우/때
주인,주호/주부/임자
입구,출구
지명,질명/지진/지뢰
옛날,지난날/전고/왕일
지금,현재/인제/이제껏
소나무,적송/육송/송목
감성돔,먹돔/먹도미
전문,후문/화폐/전화
전용,전자/전모/유용
운영,움직이다/경영
하루,흠/하자/자하
필요,불필요/절실하다/수요
근처,인근/옆/언저리
나라,방가/국가/나라가 망하면 충신이 욕을 본다
처음,마지막/처서 밑에는 까마귀 대가리가 벗어진다
친환경,환경친화
계절,철기/철/제절
숙박,숙와
경험,치르다/체험/배우다
건립,이룩하다/이룩되다/서다
높이,낮추
내부,외부/황부/통내
원형,으뜸꼴/본형/본디꼴
조각,쪽/쪼가리/주악
동해,해제지동/해자/해아
여름철,화왕지절/하절/하시
겨울,겨울에 짓는 집은 더운 집 짓고 여름에 짓는 집은 서늘한 집 짓는다
풍광,풍색/풍물/풍경
여름,하절/하기/하계
해발,표고/고도
