ID,문장,유형,극성,시제,확실성,label
TRAIN_09117,NFT를 판매할 예정이며 게임별로 최적화된 토큰 발행도 예측하고 있습니다,예측형,긍정,과거,확실,예측형-긍정-과거-확실
TRAIN_13768,그가 등장하면 좌완 김광현에게 더 값진 존재가 될 것으로 보인다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_05598,동해와 서해 남해에서 약 200km 이내 먼바다의 파고는 05∼1m로 예상된다,예측형,긍정,현재,불확실,예측형-긍정-현재-불확실
TRAIN_03300,빚이 났지만 앞으로 자동차 산업 전반에 피해가 확산될 것으로 예상된다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_00797,참여 은공업 발전 방향에 대한 포럼도 열린다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_09560,골프 여왕의 자리를 놓고 치열한 경쟁을 벌일 것으로 보인다,예측형,긍정,미래,확실,예측형-긍정-미래-확실
TRAIN_06206,각 사례별로 전문 분야에 따라 배분될 것으로 예상된다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_01297,과거와 현재를 함께 고민하고 미래를 생각하겠습니다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_02575,강원 영동이 평년 수준을 기록할 것으로 예상됐다,예측형,긍정,과거,불확실,예측형-긍정-과거-불확실
TRAIN_07061,좁은 지역에 강한 비가 내리겠습니다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_00356,1750원에서 1700원으로 낮추고 국내산 항공유에 대해서는 할당관세를 적용할 계획이다,예측형,긍정,미래,확실,예측형-긍정-미래-확실
TRAIN_10520,슬로건으로 삼고 어르신들을 위한 다양한 정보를 제공하겠습니다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_14468,금융소비자 혜택이 한 단계 더 올라갈 전망이다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_00207,금융권과 함께 기업 자금난을 선제적으로 해소해 나가겠습니다,예측형,긍정,미래,확실,예측형-긍정-미래-확실
TRAIN_07633,강릉지구와 부천 대장지구는 내년부터 토지보상에 나설 것으로 보인다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_05689,각종 유동성 확대 정책이 중국 증시에 호재가 될 것으로 전망된다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_12604,지금 만들고 있는 이란은 가만히 있지 않을 것이다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_07430,실력만 겨루는 새로운 모드 어센틱 챌린지를 추가할 계획이다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_16510,구성의 탄생 배경과 구성 과정을 설명하겠습니다,예측형,긍정,현재,불확실,예측형-긍정-현재-불확실
TRAIN_00630,더 자세한 내용을 공유하고 게임을 직접 선보일 예정입니다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_15554,장기투자사업 관련 규제를 발굴하고 이를 개정하는데 집중할 예정이다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_16461,서비스 모델과 시즌 콘텐츠 기획도 출시할 예정입니다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_12931,경기 남부와 충청 지방은 저녁에 소나기가 오는 곳이 있겠습니다,예측형,미정,미래,불확실,예측형-미정-미래-불확실
TRAIN_16489,양측의 격차가 커 파업은 무궁무진할 것으로 보인다,예측형,긍정,미래,확실,예측형-긍정-미래-확실
TRAIN_14030,평년 3만6000원에서 880원으로 50 이상 급등할 것으로 예상된다,예측형,긍정,과거,불확실,예측형-긍정-과거-불확실
TRAIN_15374,내륙에는 1mm 이하의 빗방울이 떨어지겠습니다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_16039,오후 3시까지 향후 상황에 따라 탄력적으로 운영할 계획입니다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_12494,위믹스 디파이 네일 등을 3·4분기 중 출시할 계획이다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_16015,결국 한 번쯤은 빅스텝을 밟을 것이라는 관측이 나온다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_12780,대한 대한 구속영장이 기각되면서 윗선 조사에도 난항이 예상된다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_10073,밤에 비나 눈의 영향을 받습니다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_13074,아침 사이 코골이나 빗방울이 산발적으로 떨어질 것으로 보인다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_15844,e스포츠에 적합한 게임은 갈라게임을 통해 계속 출시될 예정이다,예측형,미정,과거,확실,예측형-미정-과거-확실
TRAIN_13172,서비스를 체험할 수 있는 체험부스도 마련된다,예측형,긍정,미래,확실,예측형-긍정-미래-확실
TRAIN_09531,입국 시 지역사회 감염 가능성은 더욱 높아질 것으로 보인다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_08026,F15 시리즈의 마지막 무기가 될 것으로 보인다,예측형,긍정,미래,확실,예측형-긍정-미래-확실
TRAIN_06044,어둠을 극복하기 위한 디지털 전략에 집중할 것으로 예상된다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_16464,관람객이 직접 게임 콘텐츠를 체험해 볼 수 있게 된다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_12136,피부 획득이 가능한 스킨박스 증정 이벤트도 진행한다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
TRAIN_04224,미해결 원지를 즉시 공급할 수 있도록 할 계획입니다,예측형,긍정,미래,확실,예측형-긍정-미래-확실
TRAIN_07099,국내 구글플레이 매출 10위권 진입이 예상되는 기대작이다,예측형,긍정,현재,불확실,예측형-긍정-현재-불확실
TRAIN_14334,다양한 신원 인증 서비스를 선점하기 위해 사업자들의 치열한 경쟁이 예상된다,예측형,긍정,미래,확실,예측형-긍정-미래-확실
TRAIN_16407,IP 메이플스토리를 활용해 블록체인과 NFT의 가치를 실현한다는 계획이다,예측형,긍정,미래,확실,예측형-긍정-미래-확실
TRAIN_00564,캠페인 기간 내내 등장하는 키워드인 것 같습니다,예측형,긍정,미래,불확실,예측형-긍정-미래-불확실
