ID,문장,유형,극성,시제,확실성,label
TRAIN_06877,우선 흙의 대명사는 정말 오해입니다,대화형,긍정,현재,확실,대화형-긍정-현재-확실
TRAIN_13914,연습 방법도 있어요,대화형,긍정,현재,확실,대화형-긍정-현재-확실
TRAIN_05399,왜 1차 검사에서 음성 판정이 나오고 재검사에서 양성 판정이 나오나요,대화형,긍정,현재,불확실,대화형-긍정-현재-불확실
TRAIN_07492,가속을 멈추세요,대화형,긍정,현재,확실,대화형-긍정-현재-확실
TRAIN_02264,확장 등 시장에 필요한 정책이 소홀한 것 아닌가요,대화형,긍정,현재,불확실,대화형-긍정-현재-불확실
TRAIN_02654,나야 내 뇌에 있는 정보야,대화형,미정,현재,불확실,대화형-미정-현재-불확실
TRAIN_06052,내 안의 마음으로 의심하지 마세요,대화형,긍정,현재,확실,대화형-긍정-현재-확실
TRAIN_04469,송 큐레이터가 지인들과 함께 일을 정리하지 못한 것은 아닐까,대화형,미정,현재,불확실,대화형-미정-현재-불확실
TRAIN_02429,그 지역 장벽은 이미 무너지고 있었습니다,대화형,긍정,과거,확실,대화형-긍정-과거-확실
TRAIN_11862,할 수 있을지 모르겠지만 우리는 우리의 일을 하고 있으니까 맞혀 봐,대화형,긍정,현재,확실,대화형-긍정-현재-확실
TRAIN_03069,가슴 아픈 느낌이 드는 나라인가요,대화형,긍정,현재,불확실,대화형-긍정-현재-불확실
TRAIN_04363,픽업해 주실 수 있나요,대화형,긍정,현재,확실,대화형-긍정-현재-확실
TRAIN_09135,5G와 인공지능AI의 진화가 가져올 미래는 과연 무엇일까,대화형,미정,미래,불확실,대화형-미정-미래-불확실
TRAIN_02292,전용 볼 대신 새 볼로 위로 치켜올립니다,대화형,긍정,현재,확실,대화형-긍정-현재-확실
TRAIN_11137,어떤 기념물에 대해 이렇게 말씀하셨나요,대화형,미정,과거,확실,대화형-미정-과거-확실
TRAIN_06805,하지만 현실은 어떻습니까,대화형,미정,현재,불확실,대화형-미정-현재-불확실
TRAIN_09402,작년 스타트업 관점에서 저희는 의미 있는 실험의 기회를 얻었습니다,대화형,긍정,과거,확실,대화형-긍정-과거-확실
TRAIN_03591,따라가 보세요,대화형,긍정,미래,확실,대화형-긍정-미래-확실
TRAIN_08281,따라서 당분간은 다소 보수적인 투자로 진행 부탁드립니다,대화형,긍정,현재,확실,대화형-긍정-현재-확실
TRAIN_10295,이 장비를 소개해 주기로 계약을 하고 시장에 깜짝 놀랐습니다,대화형,긍정,과거,확실,대화형-긍정-과거-확실
TRAIN_08879,아니면 세무조사를 두려워해서 산 사실을 숨기고 계신가요,대화형,긍정,현재,불확실,대화형-긍정-현재-불확실
TRAIN_03963,목 속눈썹 눈매 얼마나 경쾌해,대화형,긍정,현재,확실,대화형-긍정-현재-확실
TRAIN_13333,넣어서 인삼과 구기자 주스를 환부에 뿌려주세요,대화형,긍정,현재,확실,대화형-긍정-현재-확실
TRAIN_04673,덕분에 쾌적한 환경을 원하는 사람들에게 인기가 많습니다,대화형,긍정,현재,확실,대화형-긍정-현재-확실
TRAIN_15361,직접 접촉을 통해 전 세계로 확산시킬 수 있습니다,대화형,미정,미래,불확실,대화형-미정-미래-불확실
TRAIN_08480,부사장님께서 14일 에인트호번 ASML 본사를 방문하셨습니다,대화형,긍정,과거,확실,대화형-긍정-과거-확실
TRAIN_05867,그 이유는 무엇입니까,대화형,미정,현재,불확실,대화형-미정-현재-불확실
