ID,문장,유형,극성,시제,확실성,label
TRAIN_16070,몸 전체에 퍼질 수 있으므로 주의해야 합니다,추론형,긍정,현재,불확실,추론형-긍정-현재-불확실
TRAIN_09703,생명을 잃은 사회로 전락하는 것입니다,추론형,긍정,미래,확실,추론형-긍정-미래-확실
TRAIN_08754,적의 은폐와 통신 블록이 위치하기 때문입니다,추론형,긍정,현재,확실,추론형-긍정-현재-확실
TRAIN_14369,상업적인 의도를 위한 것이라면 저는 이것을 하지 않았을 것입니다,추론형,부정,과거,불확실,추론형-부정-과거-불확실
TRAIN_03006,원산지 및 종축업자의 등급 정보를 쉽게 확인할 수 있습니다,추론형,긍정,미래,확실,추론형-긍정-미래-확실
TRAIN_07185,구현을 통해 공수 감축과 품질 보안을 한 번에 잡을 수 있습니다,추론형,긍정,미래,불확실,추론형-긍정-미래-불확실
TRAIN_10074,색상과 조화를 이룰 때 좋은 결과를 낼 수 있습니다,추론형,긍정,미래,불확실,추론형-긍정-미래-불확실
TRAIN_08615,그 또한 위에서 팔 수 없는 캡이 있는 경우입니다,추론형,긍정,과거,확실,추론형-긍정-과거-확실
TRAIN_06093,왜냐하면 성곽을 사용했다면 삶을 유지하기 어려웠을 것이기 때문입니다,추론형,긍정,과거,불확실,추론형-긍정-과거-불확실
TRAIN_10678,모래나 짚과 같은 잡균을 제거해야만 먹을 수 있습니다,추론형,긍정,미래,확실,추론형-긍정-미래-확실
TRAIN_10515,없는 것은 없다고 할 수 있습니다,추론형,긍정,현재,확실,추론형-긍정-현재-확실
TRAIN_04104,많은 기술 중에서 의학은 가장 신뢰할 수 없습니다,추론형,부정,현재,확실,추론형-부정-현재-확실
TRAIN_13266,온라인 배지 아이템도 얻을 수 있습니다,추론형,긍정,미래,확실,추론형-긍정-미래-확실
TRAIN_12614,부족한 부분을 빠르게 파악할 수 있습니다,추론형,긍정,미래,확실,추론형-긍정-미래-확실
TRAIN_16086,모든 경우에 꺼내서 백악관 뒤쪽을 잡을 것이 분명합니다,추론형,긍정,미래,불확실,추론형-긍정-미래-불확실
TRAIN_02946,다가오는 위기를 슬기롭게 해결할 수 있을 것 같습니다,추론형,긍정,미래,확실,추론형-긍정-미래-확실
TRAIN_02238,문 후보의 이 부분이 있습니다,추론형,긍정,현재,확실,추론형-긍정-현재-확실
